COUNTY_CODE,COUNTY_NAME,Registered_Offender_Count
1,ANDERSON,272
2,ANDREWS,75
3,ANGELINA,336
4,ARANSAS,104
5,ARCHER,14
6,ARMSTRONG,5
7,ATASCOSA,213
8,AUSTIN,70
9,BAILEY,20
10,BANDERA,79
11,BASTROP,309
12,BAYLOR,14
13,BEE,160
14,BELL,940
15,BEXAR,4148
16,BLANCO,27
17,BORDEN,1
18,BOSQUE,86
19,BOWIE,322
20,BRAZORIA,626
21,BRAZOS,297
22,BREWSTER,24
23,BRISCOE,8
24,BROOKS,31
25,BROWN,214
26,BURLESON,124
27,BURNET,123
28,CALDWELL,236
29,CALHOUN,83
30,CALLAHAN,85
31,CAMERON,833
32,CAMP,48
33,CARSON,16
34,CASS,149
35,CASTRO,30
36,CHAMBERS,111
37,CHEROKEE,197
38,CHILDRESS,19
39,CLAY,29
40,COCHRAN,10
41,COKE,9
42,COLEMAN,61
43,COLLIN,623
44,COLLINGSWORTH,8
45,COLORADO,72
46,COMAL,210
47,COMANCHE,46
48,CONCHO,17
49,COOKE,77
50,CORYELL,229
51,COTTLE,8
52,CRANE,15
53,CROCKETT,10
54,CROSBY,36
55,CULBERSON,5
56,DALLAM,36
57,DALLAS,6230
58,DAWSON,61
59,DEAF SMITH,100
60,DELTA,27
61,DENTON,573
62,DEWITT,79
63,DICKENS,7
64,DIMMIT,38
65,DONLEY,25
66,DUVAL,57
67,EASTLAND,92
68,ECTOR,499
69,EDWARDS,11
70,ELLIS,389
71,EL PASO,1527
72,ERATH,63
73,FALLS,97
74,FANNIN,206
75,FAYETTE,89
76,FISHER,14
77,FLOYD,22
78,FOARD,2
79,FORT BEND,661
80,FRANKLIN,34
81,FREESTONE,98
82,FRIO,62
83,GAINES,41
84,GALVESTON,730
85,GARZA,27
86,GILLESPIE,54
87,GLASSCOCK,2
88,GOLIAD,35
89,GONZALES,70
90,GRAY,70
91,GRAYSON,378
92,GREGG,383
93,GRIMES,124
94,GUADALUPE,293
95,HALE,149
96,HALL,15
97,HAMILTON,57
98,HANSFORD,6
99,HARDEMAN,12
100,HARDIN,200
101,HARRIS,9685
102,HARRISON,219
103,HARTLEY,3
104,HASKELL,27
105,HAYS,340
106,HEMPHILL,7
107,HENDERSON,373
108,HIDALGO,1695
109,HILL,282
110,HOCKLEY,75
111,HOOD,185
112,HOPKINS,117
113,HOUSTON,105
114,HOWARD,134
115,HUDSPETH,17
116,HUNT,354
117,HUTCHINSON,68
118,IRION,4
119,JACK,35
120,JACKSON,89
121,JASPER,160
122,JEFF DAVIS,9
123,JEFFERSON,1062
124,JIM HOGG,13
125,JIM WELLS,141
126,JOHNSON,566
127,JONES,93
128,KARNES,59
129,KAUFMAN,329
130,KENDALL,33
131,KENEDY,4
132,KENT,1
133,KERR,155
134,KIMBLE,16
136,KINNEY,6
137,KLEBERG,144
138,KNOX,23
139,LAMAR,200
140,LAMB,444
141,LAMPASAS,83
142,LA SALLE,39
143,LAVACA,69
144,LEE,46
145,LEON,52
146,LIBERTY,379
147,LIMESTONE,150
148,LIPSCOMB,6
149,LIVE OAK,47
150,LLANO,79
151,LOVING,3
152,LUBBOCK,779
153,LYNN,31
154,MCCULLOCH,44
155,MCLENNAN,820
157,MADISON,45
158,MARION,59
159,MARTIN,33
160,MASON,9
161,MATAGORDA,108
162,MAVERICK,55
163,MEDINA,150
164,MENARD,11
165,MIDLAND,600
166,MILAM,136
167,MILLS,21
168,MITCHELL,37
169,MONTAGUE,89
170,MONTGOMERY,973
171,MOORE,40
172,MORRIS,58
173,MOTLEY,3
174,NACOGDOCHES,214
175,NAVARRO,214
176,NEWTON,45
177,NOLAN,71
178,NUECES,1269
179,OCHILTREE,20
180,OLDHAM,4
181,ORANGE,355
182,PALO PINTO,113
183,PANOLA,69
184,PARKER,404
185,PARMER,20
186,PECOS,79
187,POLK,289
188,POTTER,616
189,PRESIDIO,7
190,RAINS,54
191,RANDALL,296
192,REAGAN,19
193,REAL,22
194,RED RIVER,127
195,REEVES,53
196,REFUGIO,31
198,ROBERTSON,89
199,ROCKWALL,66
200,RUNNELS,74
201,RUSK,198
202,SABINE,49
203,SAN AUGUSTINE,31
204,SAN JACINTO,156
205,SAN PATRICIO,205
206,SAN SABA,9
207,SCHLEICHER,16
208,SCURRY,77
209,SHACKELFORD,19
210,SHELBY,102
211,SHERMAN,4
212,SMITH,654
213,SOMERVELL,29
214,STARR,90
215,STEPHENS,24
216,STERLING,4
217,STONEWALL,7
218,SUTTON,14
219,SWISHER,40
220,TARRANT,4563
221,TAYLOR,610
222,TERRELL,4
223,TERRY,59
224,THROCKMORTON,4
225,TITUS,83
226,TOM GREEN,444
227,TRAVIS,1725
228,TRINITY,95
229,TYLER,100
230,UPSHUR,179
231,UPTON,25
232,UVALDE,102
233,VAL VERDE,119
234,VAN ZANDT,191
235,VICTORIA,271
236,WALKER,372
237,WALLER,144
238,WARD,42
239,WASHINGTON,78
240,WEBB,265
241,WHARTON,155
242,WHEELER,19
243,WICHITA,339
244,WILBARGER,46
245,WILLACY,70
246,WILLIAMSON,527
247,WILSON,120
248,WINKLER,37
249,WISE,249
250,WOOD,188
251,YOAKUM,18
252,YOUNG,69
253,ZAPATA,14
254,ZAVALA,38
