"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
187532020,18753,2020,"TX0010100","TX0010100","","N","N",,"I","PALESTINE","PALESTINE POLICE DEPT","Palestine","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",17625,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",26,5,31,2,10,12,0,0,01-JAN-97,01-FEB-17,01-FEB-17,01-DEC-17,01-DEC-17,01-DEC-17,"N","ANDERSON","Non-MSA","Y","Y","Y"
187542020,18754,2020,"TX0010300","TX0010300","","N","N",,"I","FRANKSTON","FRANKSTON PD","Frankston","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",1164,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",4,0,4,1,0,1,0,0,01-JAN-97,01-OCT-16,01-OCT-16,01-OCT-16,01-OCT-16,01-OCT-16,"N","HENDERSON; ANDERSON","Non-MSA","Y","Y","Y"
187572020,18757,2020,"TX0020100","TX0020100","","N","N",,"I","ANDREWS","ANDREWS PD","Andrews","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",14487,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",16,0,16,2,1,3,0,0,01-JAN-97,01-MAY-19,01-MAY-19,01-JUL-19,01-JUL-19,01-JUL-19,"N","ANDREWS","Non-MSA","Y","Y","Y"
187592020,18759,2020,"TX0030100","TX0030100","","N","N",,"I","DIBOLL","DIBOLL POLICE DEPT","Diboll","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",5182,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",12,0,12,0,5,5,0,0,01-JAN-97,01-MAR-19,01-MAR-19,01-MAY-19,01-MAY-19,01-MAY-19,"N","ANGELINA","Non-MSA","Y","Y","Y"
187602020,18760,2020,"TX0030200","TX0030200","","N","N",,"I","HUNTINGTON","HUNTINGTON PD","Huntington","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",2110,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",5,0,5,1,0,1,0,0,01-JAN-97,01-OCT-18,01-OCT-18,01-FEB-19,01-FEB-19,01-FEB-19,"N","ANGELINA","Non-MSA","Y","Y","Y"
187612020,18761,2020,"TX0030400","TX0030400","","N","N",,"I","LUFKIN","LUFKIN PD","Lufkin","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",35007,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","N",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",74,1,75,2,19,21,0,0,01-JAN-97,01-SEP-19,01-SEP-19,01-OCT-19,01-OCT-19,01-JUN-20,"N","ANGELINA","Non-MSA","Y","Y","Y"
187652020,18765,2020,"TX0040100","TX0040100","","N","N",,"I","ARANSAS PASS","ARANSAS PASS PD","Aransas Pass","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",8414,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",23,2,25,5,12,17,0,0,01-JAN-97,01-MAY-19,01-MAY-19,01-SEP-19,01-SEP-19,01-AUG-20,"N","NUECES; ARANSAS; SAN PATRICIO","Corpus Christi, TX","Y","Y","Y"
187662020,18766,2020,"TX0040200","TX0040200","","N","N",,"I","ROCKPORT","ROCKPORT PD","Rockport","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",10672,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",21,1,22,6,6,12,0,0,01-JAN-97,01-DEC-19,01-DEC-19,,01-JAN-20,,"N","ARANSAS","Non-MSA","Y","Y","Y"
187682020,18768,2020,"TX0050100","TX0050100","","N","N",,"I","ARCHER CITY","ARCHER CITY POLICE DEPARTMENT","Archer City","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",1687,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",2,0,2,0,0,0,0,0,01-JAN-97,01-JUL-18,01-JUL-18,01-DEC-18,01-DEC-18,01-DEC-18,"N","ARCHER","Wichita Falls, TX","Y","Y","Y"
187702020,18770,2020,"TX0060000","TX0060000","","N","N",,"I","ARMSTRONG","ARMSTRONG CO SO CLAUDE","Armstrong","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","County",1880,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","Y",22,"9D","MSA counties under 10,000","9","MSA Counties","N",3,"R","Y",1,1,2,1,3,4,0,0,01-JAN-97,01-JUL-19,01-JUL-19,01-AUG-19,01-AUG-19,01-AUG-19,"N","ARMSTRONG","Amarillo, TX","Y","Y","Y"
187712020,18771,2020,"TX0070000","TX0070000","","N","N",,"I","ATASCOSA","ATASCOSA CO SO JOURDANTON","Atascosa","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","County",30189,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","N",,,,,,,0,0,01-JAN-97,01-FEB-19,01-FEB-19,01-JUN-19,01-JUN-19,01-JUN-19,"N","ATASCOSA","San Antonio-New Braunfels, TX","Y","Y","Y"
187722020,18772,2020,"TX0070100","TX0070100","","N","N",,"I","LYTLE","LYTLE PD","Lytle","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",3135,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",8,0,8,0,1,1,0,0,01-JAN-97,01-JAN-18,01-JAN-18,01-JUL-18,01-JUL-18,01-JUL-18,"N","BEXAR; MEDINA; ATASCOSA","San Antonio-New Braunfels, TX","Y","Y","Y"
187732020,18773,2020,"TX0070200","TX0070200","","N","N",,"I","PLEASANTON","PLEASANTON PD","Pleasanton","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",11006,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",20,2,22,3,5,8,0,0,01-JAN-97,01-AUG-19,01-AUG-19,01-SEP-19,01-SEP-19,01-SEP-19,"N","ATASCOSA","San Antonio-New Braunfels, TX","Y","Y","Y"
187772020,18777,2020,"TX0080100","TX0080100","","N","N",,"I","BELLVILLE","BELLVILLE PD","Bellville","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",4233,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",10,0,10,1,1,2,0,0,01-JAN-97,01-MAR-17,01-MAR-17,01-DEC-17,01-DEC-17,01-DEC-17,"N","AUSTIN","Houston-The Woodlands-Sugar Land, TX","Y","Y","Y"
187782020,18778,2020,"TX0080200","TX0080200","","N","N",,"I","SEALY","SEALY PD","Sealy","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",6484,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",21,0,21,2,3,5,0,0,01-JAN-97,01-JUL-18,01-JUL-18,01-JAN-19,01-JAN-19,01-JAN-19,"N","AUSTIN","Houston-The Woodlands-Sugar Land, TX","Y","Y","Y"
187792020,18779,2020,"TX0080700","TX0080700","","N","N",,"I","WALLIS","WALLIS PD","Wallis","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",1309,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",7,0,7,1,0,1,0,0,01-JAN-97,01-JAN-19,01-JAN-19,01-MAY-19,01-MAY-19,01-MAY-19,"N","AUSTIN","Houston-The Woodlands-Sugar Land, TX","Y","Y","Y"
187812020,18781,2020,"TX0090000","TX0090000","","N","N",,"I","BAILEY","BAILEY CO SO MULESHOE","Bailey","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","County",1955,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",7,7,14,1,8,9,0,0,01-JAN-97,01-APR-19,01-APR-19,01-JUL-19,01-JUL-19,01-JUL-19,"N","BAILEY","Non-MSA","Y","Y","Y"
187822020,18782,2020,"TX0090100","TX0090100","","N","N",,"I","MULESHOE","MULESHOE PD","Muleshoe","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",5005,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",6,2,8,1,4,5,0,0,01-JAN-97,01-MAY-18,01-MAY-18,01-NOV-18,01-NOV-18,01-NOV-18,"N","BAILEY","Non-MSA","Y","Y","Y"
187832020,18783,2020,"TX0100000","TX0100000","","N","N",,"I","BANDERA","BANDERA CO SO BANDERA","Bandera","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","County",23336,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","Y",21,"9C","MSA counties from 10,000 thru 24,999","9","MSA Counties","N",3,"R","Y",28,19,47,4,19,23,0,0,01-JAN-97,01-JAN-19,01-JAN-19,01-MAY-19,01-MAY-19,01-MAY-19,"N","BANDERA","San Antonio-New Braunfels, TX","Y","Y","Y"
187852020,18785,2020,"TX0110100","TX0110100","","N","N",,"I","BASTROP","BASTROP PD","Bastrop","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",9479,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",19,1,20,2,3,5,0,0,01-JAN-97,01-AUG-19,01-AUG-19,01-DEC-19,01-DEC-19,01-DEC-19,"N","BASTROP","Austin-Round Rock-Georgetown, TX","Y","Y","Y"
187862020,18786,2020,"TX0110200","TX0110200","","N","N",,"I","ELGIN","ELGIN PD","Elgin","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",10567,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",18,0,18,4,4,8,0,0,01-JAN-97,01-JAN-18,01-JAN-18,01-SEP-18,01-SEP-18,01-SEP-18,"N","TRAVIS; BASTROP","Austin-Round Rock-Georgetown, TX","Y","Y","Y"
187872020,18787,2020,"TX0110300","TX0110300","","N","N",,"I","SMITHVILLE","SMITHVILLE PD","Smithville","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",4600,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","N",,,,,,,0,0,01-JAN-97,01-JUN-19,01-JUN-19,01-JUL-19,01-JUL-19,01-JUL-19,"N","BASTROP","Austin-Round Rock-Georgetown, TX","Y","Y","Y"
187892020,18789,2020,"TX0120100","TX0120100","","N","N",,"I","SEYMOUR","SEYMOUR PD","Seymour","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",2532,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",4,1,5,0,2,2,0,0,01-JAN-97,01-DEC-16,01-DEC-16,01-DEC-16,01-DEC-16,01-DEC-16,"N","BAYLOR","Non-MSA","Y","Y","Y"
187902020,18790,2020,"TX0130000","TX0130000","","N","N",,"I","BEE","BEE CO SO BEEVILLE","Bee","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","County",19746,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",19,28,47,4,25,29,0,0,01-JAN-97,01-JAN-18,01-JAN-18,01-JUL-18,01-JUL-18,01-JUL-18,"N","BEE","Non-MSA","Y","Y","Y"
187922020,18792,2020,"TX0140000","TX0140000","","N","N",,"I","BELL","BELL CO SO BELTON","Bell","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","County",59218,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",84,141,225,17,113,130,0,0,01-JAN-97,01-MAY-20,01-MAY-20,01-JUL-20,01-JUL-20,,"N","BELL","Killeen-Temple, TX","Y","Y","Y"
187952020,18795,2020,"TX0140300","TX0140300","","N","N",,"I","HARKER HEIGHTS","HARKER HEIGHTS PD","Harker Heights","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",33091,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",43,2,45,10,12,22,0,0,01-JAN-97,01-AUG-19,01-AUG-19,01-SEP-19,01-SEP-19,01-AUG-20,"N","BELL","Killeen-Temple, TX","Y","Y","Y"
187962020,18796,2020,"TX0140400","TX0140400","","N","N",,"I","KILLEEN","KILLEEN PD","Killeen","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",154417,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","N",6,"2","Cities from 100,000 thru 249,999","2","Cities from 100,000 thru 249,999","Y",1,"R","Y",196,11,207,39,39,78,0,0,01-JAN-97,01-MAR-20,01-MAR-20,01-APR-20,01-APR-20,,"N","BELL","Killeen-Temple, TX","Y","Y","Y"
187972020,18797,2020,"TX0140500","TX0140500","","N","N",,"I","NOLANVILLE","NOLANVILLE PD","Nolanville","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",6048,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",10,0,10,0,1,1,0,0,01-JAN-97,01-OCT-20,01-OCT-20,01-DEC-20,01-DEC-20,,"N","BELL","Killeen-Temple, TX","Y","Y","Y"
187982020,18798,2020,"TX0140700","TX0140700","","N","N",,"I","TEMPLE","TEMPLE PD","Temple","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",79878,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","N",7,"3","Cities from 50,000 thru 99,999","3","Cities from 50,000 thru 99,999","N",2,"R","Y",122,6,128,24,33,57,0,0,01-JAN-97,01-JAN-03,01-APR-15,01-APR-15,01-APR-15,01-APR-15,"N","BELL","Killeen-Temple, TX","Y","Y","Y"
188002020,18800,2020,"TX0141000","TX0141000","","N","N",,"I","MORGANS POINT RESORT","MORGAN PT RESORT PD BELTON","Morgans Point Resort","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",4738,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",9,0,9,0,0,0,0,0,01-JAN-97,01-FEB-20,01-FEB-20,01-APR-20,01-APR-20,,"N","BELL","Killeen-Temple, TX","Y","Y","Y"
188022020,18802,2020,"TX0141500","TX0141500","","N","N",,"I","ISD: KILLEEN","KILLEEN ISD POLICE DEPARTMENT KILLEEN","Independent School District:","Killeen","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","Other",0,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",20,0,20,5,1,6,0,0,01-JAN-97,01-SEP-19,01-SEP-19,01-DEC-19,01-NOV-19,01-NOV-19,"N","BELL","Killeen-Temple, TX","Y","Y","Y"
188042020,18804,2020,"TX0141800","TX0141800","","N","N",,"I","SALADO","VILLAGE OF SALADO POLICE DEPARTMENT","Salado","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",2393,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",5,0,5,0,0,0,0,0,01-JAN-97,01-AUG-18,01-AUG-18,01-SEP-18,01-SEP-18,01-SEP-18,"N","BELL","Killeen-Temple, TX","Y","Y","Y"
188062020,18806,2020,"TX0150000","TX0150000","","N","N",,"I","BEXAR","BEXAR CO SO SAN ANTONIO","Bexar","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","County",298665,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","Y",19,"9A","MSA counties 100,000 or over","9","MSA Counties","Y",3,"R","Y",496,669,1165,84,450,534,0,0,01-JAN-97,01-NOV-20,01-NOV-20,01-DEC-20,01-DEC-20,01-DEC-20,"N","BEXAR","San Antonio-New Braunfels, TX","Y","Y","Y"
