,COUNTY_CODE,OFFENSE_TYPE_ID,INCIDENT_COUNT
0,[2],3,1
1,[4],3,2
2,[14],3,2
3,[14],3,1
4,[21],3,1
5,[25],3,1
6,[26],3,1
7,[27],3,1
8,[28],3,1
9,[31],3,1
10,[32],3,1
11,[36],3,3
12,"[61, 43]",3,2
13,"[61, 43]",3,2
14,"[94, 46]",3,1
15,[50],3,1
16,[57],3,1
17,"[43, 57, 61]",3,1
18,[57],3,3
19,"[129, 57]",3,3
20,[71],3,1
21,"[101, 79]",3,1
22,[81],3,3
23,"[201, 92]",3,2
24,[97],3,1
25,[101],3,1
26,[108],3,1
27,[112],3,4
28,[130],3,1
29,[155],3,1
30,[166],3,1
31,[174],3,1
32,[184],3,1
33,[184],3,1
34,[184],3,1
35,[187],3,1
36,"[116, 43, 199]",3,1
37,[212],3,6
38,[218],3,1
39,"[184, 61, 220]",3,5
40,"[70, 126, 220]",3,1
41,[226],3,3
42,[236],3,2
43,[238],3,1
44,[240],3,1
45,[240],3,1
46,[246],3,1
47,"[227, 246]",3,2
48,[246],3,1
49,"[227, 246]",3,1
50,[2],36,2
51,[3],36,9
52,[12],36,2
53,[14],36,1
54,[14],36,5
55,[14],36,5
56,[15],36,2
57,[19],36,2
58,[20],36,3
59,"[79, 101, 20]",36,2
60,[21],36,1
61,[21],36,4
62,[25],36,3
63,[27],36,1
64,[27],36,1
65,[28],36,1
66,[29],36,4
67,[29],36,2
68,[31],36,6
69,[31],36,11
70,[31],36,1
71,[31],36,3
72,[32],36,1
73,[32],36,1
74,[34],36,2
75,[36],36,1
76,[37],36,2
77,[43],36,15
78,[43],36,1
79,[43],36,1
80,"[61, 43]",36,2
81,[43],36,10
82,"[61, 43]",36,9
83,"[57, 199, 43]",36,5
84,[43],36,1
85,"[94, 46]",36,1
86,[49],36,2
87,"[103, 56]",36,1
88,[57],36,2
89,"[43, 57, 61]",36,1
90,"[70, 57]",36,4
91,"[61, 57]",36,1
92,[57],36,1
93,[57],36,1
94,[57],36,2
95,"[43, 57]",36,19
96,"[70, 220, 57]",36,6
97,[57],36,1
98,[57],36,9
99,[57],36,2
100,"[129, 57]",36,21
101,"[43, 57]",36,1
102,"[129, 57]",36,1
103,"[199, 57]",36,2
104,"[70, 57]",36,1
105,[61],36,13
106,"[57, 61]",36,5
107,[61],36,2
108,[62],36,1
109,[65],36,1
110,[67],36,2
111,"[165, 68]",36,1
112,[70],36,1
113,[71],36,4
114,[71],36,27
115,[72],36,2
116,[72],36,1
117,[77],36,1
118,[79],36,17
119,"[101, 79]",36,1
120,[79],36,2
121,[84],36,10
122,[84],36,4
123,"[101, 84]",36,1
124,[84],36,5
125,[84],36,1
126,"[101, 84]",36,2
127,[84],36,2
128,[90],36,2
129,[91],36,1
130,[91],36,1
131,"[201, 92]",36,1
132,"[102, 92]",36,2
133,[93],36,1
134,[94],36,1
135,[101],36,23
136,"[36, 101]",36,2
137,[101],36,1
138,[101],36,5
139,[102],36,2
140,"[28, 105]",36,6
141,[105],36,1
142,[108],36,7
143,[108],36,2
144,[108],36,8
145,[108],36,2
146,[108],36,1
147,[108],36,2
148,[109],36,1
149,[110],36,3
150,[112],36,7
151,[112],36,2
152,[114],36,1
153,[116],36,1
154,[117],36,1
155,[120],36,1
156,[123],36,1
157,"[181, 123]",36,2
158,[126],36,2
159,[129],36,10
160,[129],36,1
161,[129],36,1
162,[130],36,3
163,[130],36,2
164,[133],36,5
165,[139],36,5
166,[141],36,1
167,[144],36,1
168,[146],36,2
169,[147],36,1
170,[152],36,3
171,[154],36,1
172,[155],36,3
173,[155],36,3
174,[155],36,4
175,[155],36,1
176,[155],36,16
177,[163],36,2
178,[166],36,1
179,[170],36,1
180,[170],36,3
181,[172],36,1
182,[174],36,7
183,[174],36,3
184,[175],36,1
185,[175],36,7
186,[176],36,1
187,[178],36,6
188,"[184, 182]",36,2
189,[184],36,1
190,[187],36,8
191,[187],36,1
192,"[191, 188]",36,20
193,[191],36,1
194,[199],36,5
195,[199],36,1
196,[201],36,8
197,[205],36,1
198,[210],36,2
199,[212],36,6
200,[220],36,4
201,[220],36,2
202,[220],36,1
203,[220],36,1
204,"[184, 61, 220]",36,83
205,[220],36,6
206,[220],36,3
207,"[70, 126, 220]",36,3
208,[220],36,2
209,[220],36,1
210,[225],36,3
211,[226],36,9
212,[226],36,2
213,[227],36,3
214,"[246, 227]",36,60
215,[227],36,3
216,[235],36,2
217,[236],36,2
218,[236],36,2
219,[240],36,15
220,[241],36,1
221,[243],36,1
222,[245],36,1
223,[245],36,1
224,[246],36,1
225,[246],36,5
226,"[227, 246]",36,2
227,[247],36,1
228,[248],36,1
229,[249],36,1
230,[254],36,1
231,"[61, 43, 57]",36,56
