,COUNTY_CODE,COUNTY_NAME
0,1,ANDERSON
1,2,ANDREWS
2,3,ANGELINA
3,4,ARANSAS
4,5,ARCHER
5,6,ARMSTRONG
6,7,ATASCOSA
7,8,AUSTIN
8,9,BAILEY
9,10,BANDERA
10,11,BASTROP
11,12,BAYLOR
12,13,BEE
13,14,BELL
14,15,BEXAR
15,16,BLANCO
16,17,BORDEN
17,18,BOSQUE
18,19,BOWIE
19,20,BRAZORIA
20,21,BRAZOS
21,22,BREWSTER
22,23,BRISCOE
23,24,BROOKS
24,25,BROWN
25,26,BURLESON
26,27,BURNET
27,28,CALDWELL
28,29,CALHOUN
29,30,CALLAHAN
30,31,CAMERON
31,32,CAMP
32,33,CARSON
33,34,CASS
34,35,CASTRO
35,36,CHAMBERS
36,37,CHEROKEE
37,38,CHILDRESS
38,39,CLAY
39,40,COCHRAN
40,41,COKE
41,42,COLEMAN
42,43,COLLIN
43,44,COLLINGSWORTH
44,45,COLORADO
45,46,COMAL
46,47,COMANCHE
47,48,CONCHO
48,49,COOKE
49,50,CORYELL
50,51,COTTLE
51,52,CRANE
52,53,CROCKETT
53,54,CROSBY
54,55,CULBERSON
55,56,DALLAM
56,57,DALLAS
57,58,DAWSON
58,59,DEAF SMITH
59,60,DELTA
60,61,DENTON
61,62,DEWITT
62,63,DICKENS
63,64,DIMMIT
64,65,DONLEY
65,66,DUVAL
66,67,EASTLAND
67,68,ECTOR
68,69,EDWARDS
69,70,ELLIS
70,71,EL PASO
71,72,ERATH
72,73,FALLS
73,74,FANNIN
74,75,FAYETTE
75,76,FISHER
76,77,FLOYD
77,78,FOARD
78,79,FORT BEND
79,80,FRANKLIN
80,81,FREESTONE
81,82,FRIO
82,83,GAINES
83,84,GALVESTON
84,85,GARZA
85,86,GILLESPIE
86,87,GLASSCOCK
87,88,GOLIAD
88,89,GONZALES
89,90,GRAY
90,91,GRAYSON
91,92,GREGG
92,93,GRIMES
93,94,GUADALUPE
94,95,HALE
95,96,HALL
96,97,HAMILTON
97,98,HANSFORD
98,99,HARDEMAN
99,100,HARDIN
100,101,HARRIS
101,102,HARRISON
102,103,HARTLEY
103,104,HASKELL
104,105,HAYS
105,106,HEMPHILL
106,107,HENDERSON
107,108,HIDALGO
108,109,HILL
109,110,HOCKLEY
110,111,HOOD
111,112,HOPKINS
112,113,HOUSTON
113,114,HOWARD
114,115,HUDSPETH
115,116,HUNT
116,117,HUTCHINSON
117,118,IRION
118,119,JACK
119,120,JACKSON
120,121,JASPER
121,122,JEFF DAVIS
122,123,JEFFERSON
123,124,JIM HOGG
124,125,JIM WELLS
125,126,JOHNSON
126,127,JONES
127,128,KARNES
128,129,KAUFMAN
129,130,KENDALL
130,131,KENEDY
131,132,KENT
132,133,KERR
133,134,KIMBLE
134,135,KING
135,136,KINNEY
136,137,KLEBERG
137,138,KNOX
138,139,LAMAR
139,140,LAMB
140,141,LAMPASAS
141,142,LA SALLE
142,143,LAVACA
143,144,LEE
144,145,LEON
145,146,LIBERTY
146,147,LIMESTONE
147,148,LIPSCOMB
148,149,LIVE OAK
149,150,LLANO
150,151,LOVING
151,152,LUBBOCK
152,153,LYNN
153,154,MCCULLOCH
154,155,MCLENNAN
155,156,MCMULLEN
156,157,MADISON
157,158,MARION
158,159,MARTIN
159,160,MASON
160,161,MATAGORDA
161,162,MAVERICK
162,163,MEDINA
163,164,MENARD
164,165,MIDLAND
165,166,MILAM
166,167,MILLS
167,168,MITCHELL
168,169,MONTAGUE
169,170,MONTGOMERY
170,171,MOORE
171,172,MORRIS
172,173,MOTLEY
173,174,NACOGDOCHES
174,175,NAVARRO
175,176,NEWTON
176,177,NOLAN
177,178,NUECES
178,179,OCHILTREE
179,180,OLDHAM
180,181,ORANGE
181,182,PALO PINTO
182,183,PANOLA
183,184,PARKER
184,185,PARMER
185,186,PECOS
186,187,POLK
187,188,POTTER
188,189,PRESIDIO
189,190,RAINS
190,191,RANDALL
191,192,REAGAN
192,193,REAL
193,194,RED RIVER
194,195,REEVES
195,196,REFUGIO
196,197,ROBERTS
197,198,ROBERTSON
198,199,ROCKWALL
199,200,RUNNELS
200,201,RUSK
201,202,SABINE
202,203,SAN AUGUSTINE
203,204,SAN JACINTO
204,205,SAN PATRICIO
205,206,SAN SABA
206,207,SCHLEICHER
207,208,SCURRY
208,209,SHACKELFORD
209,210,SHELBY
210,211,SHERMAN
211,212,SMITH
212,213,SOMERVELL
213,214,STARR
214,215,STEPHENS
215,216,STERLING
216,217,STONEWALL
217,218,SUTTON
218,219,SWISHER
219,220,TARRANT
220,221,TAYLOR
221,222,TERRELL
222,223,TERRY
223,224,THROCKMORTON
224,225,TITUS
225,226,TOM GREEN
226,227,TRAVIS
227,228,TRINITY
228,229,TYLER
229,230,UPSHUR
230,231,UPTON
231,232,UVALDE
232,233,VAL VERDE
233,234,VAN ZANDT
234,235,VICTORIA
235,236,WALKER
236,237,WALLER
237,238,WARD
238,239,WASHINGTON
239,240,WEBB
240,241,WHARTON
241,242,WHEELER
242,243,WICHITA
243,244,WILBARGER
244,245,WILLACY
245,246,WILLIAMSON
246,247,WILSON
247,248,WINKLER
248,249,WISE
249,250,WOOD
250,251,YOAKUM
251,252,YOUNG
252,253,ZAPATA
253,254,ZAVALA
