,COUNTY_NAME,COUNTY_CODE,OFFENSE_TYPE_ID,OFFENSE_NAME,INCIDENT_COUNT
0,['ANDREWS'],[2],3,Statutory Rape,1
1,['ARANSAS'],[4],3,Statutory Rape,2
2,['BELL'],[14],3,Statutory Rape,2
3,['BELL'],[14],3,Statutory Rape,1
4,['BRAZOS'],[21],3,Statutory Rape,1
5,['BROWN'],[25],3,Statutory Rape,1
6,['BURLESON'],[26],3,Statutory Rape,1
7,['BURNET'],[27],3,Statutory Rape,1
8,['CALDWELL'],[28],3,Statutory Rape,1
9,['CAMERON'],[31],3,Statutory Rape,1
10,['CAMP'],[32],3,Statutory Rape,1
11,['CHAMBERS'],[36],3,Statutory Rape,3
12,"['DENTON', ' COLLIN']","[61, 43]",3,Statutory Rape,2
13,"['DENTON', ' COLLIN']","[61, 43]",3,Statutory Rape,2
14,"['GUADALUPE', ' COMAL']","[94, 46]",3,Statutory Rape,1
15,['CORYELL'],[50],3,Statutory Rape,1
16,['DALLAS'],[57],3,Statutory Rape,1
17,"['COLLIN', ' DALLAS', ' DENTON']","[43, 57, 61]",3,Statutory Rape,1
18,['DALLAS'],[57],3,Statutory Rape,3
19,"['KAUFMAN', ' DALLAS']","[129, 57]",3,Statutory Rape,3
20,['EL PASO'],[71],3,Statutory Rape,1
21,"['HARRIS', ' FORT BEND']","[101, 79]",3,Statutory Rape,1
22,['FREESTONE'],[81],3,Statutory Rape,3
23,"['RUSK', ' GREGG']","[201, 92]",3,Statutory Rape,2
24,['HAMILTON'],[97],3,Statutory Rape,1
25,['HARRIS'],[101],3,Statutory Rape,1
26,['HIDALGO'],[108],3,Statutory Rape,1
27,['HOPKINS'],[112],3,Statutory Rape,4
28,['KENDALL'],[130],3,Statutory Rape,1
29,['MCLENNAN'],[155],3,Statutory Rape,1
30,['MILAM'],[166],3,Statutory Rape,1
31,['NACOGDOCHES'],[174],3,Statutory Rape,1
32,['PARKER'],[184],3,Statutory Rape,1
33,['PARKER'],[184],3,Statutory Rape,1
34,['PARKER'],[184],3,Statutory Rape,1
35,['POLK'],[187],3,Statutory Rape,1
36,"['HUNT', ' COLLIN', ' ROCKWALL']","[116, 43, 199]",3,Statutory Rape,1
37,['SMITH'],[212],3,Statutory Rape,6
38,['SUTTON'],[218],3,Statutory Rape,1
39,"['PARKER', ' DENTON', ' TARRANT']","[184, 61, 220]",3,Statutory Rape,5
40,"['ELLIS', ' JOHNSON', ' TARRANT']","[70, 126, 220]",3,Statutory Rape,1
41,['TOM GREEN'],[226],3,Statutory Rape,3
42,['WALKER'],[236],3,Statutory Rape,2
43,['WARD'],[238],3,Statutory Rape,1
44,['WEBB'],[240],3,Statutory Rape,1
45,['WEBB'],[240],3,Statutory Rape,1
46,['WILLIAMSON'],[246],3,Statutory Rape,1
47,"['TRAVIS', ' WILLIAMSON']","[227, 246]",3,Statutory Rape,2
48,['WILLIAMSON'],[246],3,Statutory Rape,1
49,"['TRAVIS', ' WILLIAMSON']","[227, 246]",3,Statutory Rape,1
50,['ANDREWS'],[2],36,Rape,2
51,['ANGELINA'],[3],36,Rape,9
52,['BAYLOR'],[12],36,Rape,2
53,['BELL'],[14],36,Rape,1
54,['BELL'],[14],36,Rape,5
55,['BELL'],[14],36,Rape,5
56,['BEXAR'],[15],36,Rape,2
57,['BOWIE'],[19],36,Rape,2
58,['BRAZORIA'],[20],36,Rape,3
59,"['FORT BEND', ' HARRIS', ' BRAZORIA']","[79, 101, 20]",36,Rape,2
60,['BRAZOS'],[21],36,Rape,1
61,['BRAZOS'],[21],36,Rape,4
62,['BROWN'],[25],36,Rape,3
63,['BURNET'],[27],36,Rape,1
64,['BURNET'],[27],36,Rape,1
65,['CALDWELL'],[28],36,Rape,1
66,['CALHOUN'],[29],36,Rape,4
67,['CALHOUN'],[29],36,Rape,2
68,['CAMERON'],[31],36,Rape,6
69,['CAMERON'],[31],36,Rape,11
70,['CAMERON'],[31],36,Rape,1
71,['CAMERON'],[31],36,Rape,3
72,['CAMP'],[32],36,Rape,1
73,['CAMP'],[32],36,Rape,1
74,['CASS'],[34],36,Rape,2
75,['CHAMBERS'],[36],36,Rape,1
76,['CHEROKEE'],[37],36,Rape,2
77,['COLLIN'],[43],36,Rape,15
78,['COLLIN'],[43],36,Rape,1
79,['COLLIN'],[43],36,Rape,1
80,"['DENTON', ' COLLIN']","[61, 43]",36,Rape,2
81,['COLLIN'],[43],36,Rape,10
82,"['DENTON', ' COLLIN']","[61, 43]",36,Rape,9
83,"['DALLAS', ' ROCKWALL', ' COLLIN']","[57, 199, 43]",36,Rape,5
84,['COLLIN'],[43],36,Rape,1
85,"['GUADALUPE', ' COMAL']","[94, 46]",36,Rape,1
86,['COOKE'],[49],36,Rape,2
87,"['HARTLEY', ' DALLAM']","[103, 56]",36,Rape,1
88,['DALLAS'],[57],36,Rape,2
89,"['COLLIN', ' DALLAS', ' DENTON']","[43, 57, 61]",36,Rape,1
90,"['ELLIS', ' DALLAS']","[70, 57]",36,Rape,4
91,"['DENTON', ' DALLAS']","[61, 57]",36,Rape,1
92,['DALLAS'],[57],36,Rape,1
93,['DALLAS'],[57],36,Rape,1
94,['DALLAS'],[57],36,Rape,2
95,"['COLLIN', ' DALLAS']","[43, 57]",36,Rape,19
96,"['ELLIS', ' TARRANT', ' DALLAS']","[70, 220, 57]",36,Rape,6
97,['DALLAS'],[57],36,Rape,1
98,['DALLAS'],[57],36,Rape,9
99,['DALLAS'],[57],36,Rape,2
100,"['KAUFMAN', ' DALLAS']","[129, 57]",36,Rape,21
101,"['COLLIN', ' DALLAS']","[43, 57]",36,Rape,1
102,"['KAUFMAN', ' DALLAS']","[129, 57]",36,Rape,1
103,"['ROCKWALL', ' DALLAS']","[199, 57]",36,Rape,2
104,"['ELLIS', ' DALLAS']","[70, 57]",36,Rape,1
